web-scraper-order,web-scraper-start-url,Type_habit,Prix,Adresse,Image_lien-src
"1739917822-1194","https://sn.coinafrique.com/categorie/vetements-enfants","Bambinerie","Prix sur demande","Geule Tapée, Dakar, Sénégal","https://images.coinafrique.com/thumb_2214815_uploaded_image1_1591105408.jpg"
"1739917822-1195","https://sn.coinafrique.com/categorie/vetements-enfants","Slip pour enfant","7 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2205828_uploaded_image1_1590964036.jpg"
"1739917822-1196","https://sn.coinafrique.com/categorie/vetements-enfants","Complet bébé","3 500CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_2202769_uploaded_image1_1590917752.83.jpeg"
"1739917822-1197","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","4 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2201848_uploaded_image1_1590884374.jpg"
"1739917822-1198","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2201847_uploaded_image1_1590884339.jpg"
"1739917822-1199","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","4 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2201843_uploaded_image1_1590884302.jpg"
"1739917822-1200","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements pour enfants de 1 à 15ans","6 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_2200124_uploaded_image1_1590854403.jpg"
"1739917822-1201","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble vêtements enfant","4 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2196576_uploaded_image1_1590797294.jpg"
"1739917822-1202","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble enfant","6 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2196574_uploaded_image1_1590797255.jpg"
"1739917822-1203","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble vêtements enfant","6 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2196573_uploaded_image1_1590797228.jpg"
"1739917822-1204","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble vêtements enfant","6 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2196570_uploaded_image2_1590797203.jpeg"
"1739917822-1205","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","6 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2196569_uploaded_image1_1590797177.jpg"
"1739917822-1206","https://sn.coinafrique.com/categorie/vetements-enfants","Robe","3 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2196473_uploaded_image1_1590795934.jpg"
"1739917822-1207","https://sn.coinafrique.com/categorie/vetements-enfants","Robe fille","3 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2196469_uploaded_image1_1590795904.jpg"
"1739917822-1208","https://sn.coinafrique.com/categorie/vetements-enfants","Robe fille","3 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2196466_uploaded_image1_1590795872.jpg"
"1739917822-1209","https://sn.coinafrique.com/categorie/vetements-enfants","Pour enfants","4 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2196462_uploaded_image1_1590795834.jpg"
"1739917822-1210","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble pour enfants","4 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2196460_uploaded_image1_1590795797.jpg"
"1739917822-1211","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","4 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2196455_uploaded_image1_1590795758.jpg"
"1739917822-1212","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble pour enfants","4 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2196452_uploaded_image1_1590795726.jpg"
